var,factor,date,change_pct
ALUM,0.8,2026-02-01,-0.01
ALUM,0.8,2026-02-10,-0.01
ALUM,0.8,2026-02-20,-0.01
ALUM,1.2,2026-02-01,0.01
ALUM,1.2,2026-02-10,0.01
ALUM,1.2,2026-02-20,0.01
FILT_NTU,0.8,2026-02-01,-2.13
FILT_NTU,0.8,2026-02-10,-3.63
FILT_NTU,0.8,2026-02-20,-2.3
FILT_NTU,1.2,2026-02-01,2.14
FILT_NTU,1.2,2026-02-10,3.66
FILT_NTU,1.2,2026-02-20,2.32
RW_NTU,0.5,2026-02-01,3.44
RW_NTU,0.5,2026-02-10,0.95
RW_NTU,0.5,2026-02-20,4.44
RW_NTU,2.0,2026-02-01,-6.79
RW_NTU,2.0,2026-02-10,-1.88
RW_NTU,2.0,2026-02-20,-8.74
